id,moreConnectionWithFamilyCloseFriendsOrRelatives,healthIssueDuringLockdown,,Does The Connection With Others Affect The Health Issue?,,,,,,
R138,TRUE,FALSE,,No,,,,,,
R139,TRUE,FALSE,,No,,,,,,
R140,TRUE,FALSE,,No,,,,,,
R141,TRUE,TRUE,,Yes,,,,,,
R142,TRUE,FALSE,,No,,,,,,
R143,TRUE,FALSE,,No,,,,,,
R144,TRUE,FALSE,,No,,,,,,
R145,TRUE,FALSE,,No,,,,,,
R146,FALSE,FALSE,,Yes,,,,,,
R147,TRUE,TRUE,,Yes,,,,,,
R148,FALSE,FALSE,,Yes,,,,,,
R149,TRUE,TRUE,,Yes,,,,,,
R150,TRUE,FALSE,,No,,,,,,
R151,FALSE,FALSE,,Yes,,,,,,
R152,TRUE,FALSE,,No,,,,,,
R153,TRUE,FALSE,,No,,,,,,
R154,FALSE,FALSE,,Yes,,,,,,
R155,TRUE,TRUE,,Yes,,,,,,
R156,TRUE,TRUE,,Yes,,,,,,
R157,TRUE,FALSE,,No,,,,,,
R158,FALSE,FALSE,,Yes,,,,,,
R159,TRUE,FALSE,,No,,,,,,
R160,TRUE,TRUE,,Yes,,,,,,
R161,FALSE,FALSE,,Yes,,,,,,
R162,TRUE,TRUE,,Yes,,,,,,
R163,TRUE,FALSE,,No,,,,,,
R164,TRUE,TRUE,,Yes,,,,,,
R165,FALSE,TRUE,,No,,,,,,
R166,FALSE,FALSE,,Yes,,,,,,
R167,FALSE,FALSE,,Yes,,,,,,
R168,TRUE,FALSE,,No,,,,,,
R169,FALSE,FALSE,,Yes,,,,,,
R170,TRUE,FALSE,,No,,,,,,
R171,TRUE,TRUE,,Yes,,,,,,
R172,TRUE,TRUE,,Yes,,,,,,
R173,TRUE,FALSE,,No,,,,,,
R174,TRUE,FALSE,,No,,,,,,
R175,TRUE,FALSE,,No,,,,,,
R176,TRUE,TRUE,,Yes,,,,,,
R177,TRUE,FALSE,,No,,,,,,
R178,TRUE,FALSE,,No,,,,,,
R179,TRUE,FALSE,,No,,,,,,
R180,TRUE,FALSE,,No,,,,,,
R181,FALSE,FALSE,,Yes,,,,,,
R182,TRUE,FALSE,,No,,,,,,
R183,TRUE,TRUE,,Yes,,,,,,
R184,TRUE,FALSE,,No,,,,,,
R185,FALSE,TRUE,,No,,,,,,
R186,TRUE,FALSE,,No,,,,,,
R187,FALSE,TRUE,,No,,,,,,
R188,TRUE,FALSE,,No,,,,,,
R189,TRUE,FALSE,,No,,,,,,
R190,TRUE,FALSE,,No,,,,,,
R191,TRUE,FALSE,,No,,,,,,
R192,TRUE,FALSE,,No,,,,,,
R193,FALSE,TRUE,,No,,,,,,
R194,TRUE,FALSE,,No,,,,,,
