id,timeSpentOnOnlineClass,timeSpentOnSelfStudy,timeSpentOnOnlineClass&SelfStudy,,timeSpentOnSocialMedia,timeSpentOnTv,timeSpentOnSocialMedia&Tv,,,,The Difference Between The Time Spent On Study And Leisure Activities
R140,3,2,5,,1,0,1,,,,4
R141,3,5,8,,2,1,3,,,,5
R142,3,3,6,,2,2,4,,,,2
R143,1,1,2,,0,0,0,,,,2
R144,2,6,8,,1,1,2,,,,6
R145,2,2,4,,2,3,5,,,,-1
R146,4,2,6,,2,1,3,,,,3
R147,6,1,7,,1,0,1,,,,6
R148,3,2,5,,2,2,4,,,,1
R149,6,3,9,,2,0.5,2.5,,,,6.5
R150,1,1,2,,1,0,1,,,,1
R151,2,2,4,,2,0,2,,,,2
R152,4,4,8,,2,0,2,,,,6
R153,4,7,11,,1,1,2,,,,9
R154,5,3,8,,2,3,5,,,,3
R155,1,3,4,,1,1,2,,,,2
R156,0.5,7,7.5,,0.1,0,0.1,,,,7.4
R157,3,1,4,,2,0,2,,,,2
R158,5,1,6,,1,0,1,,,,5
R159,4,6,10,,1,1,2,,,,8
R160,3,2,5,,2,0,2,,,,3
R161,4,2,6,,2,4,6,,,,0
R162,6,3,9,,4,2,6,,,,3
R163,0,1,1,,4,0,4,,,,-3
R164,4,3,7,,1,1,2,,,,5
R165,1,4,5,,2,0,2,,,,3
R166,3,0,3,,4,0,4,,,,-1
R167,4,4,8,,2,0,2,,,,6
R168,0,1,1,,10,0,10,,,,-9
R169,0,3,3,,1,0,1,,,,2
R170,4,2,6,,1,2,3,,,,3
R171,0,3,3,,2,1,3,,,,0
R172,0,1,1,,0.5,1,1.5,,,,-0.5
R173,4,3,7,,1,1,2,,,,5
R174,1,3,4,,1,0,1,,,,3
R175,5,4,9,,2,4,6,,,,3
R176,0,4,4,,2,0,2,,,,2
R177,3,3,6,,1,2,3,,,,3
R178,0,3,3,,0,2,2,,,,1
R179,6,2,8,,4,0,4,,,,4
R180,1,1,2,,2,1,3,,,,-1
R181,1,2,3,,3,0,3,,,,0
R182,3,0.5,3.5,,2,0,2,,,,1.5
R183,2,2,4,,2,2,4,,,,0
R184,1,7,8,,1,0,1,,,,7
R185,3,1.5,4.5,,2,1.5,3.5,,,,1
R186,4,1,5,,1.5,5,6.5,,,,-1.5
R187,1,4,5,,1,0,1,,,,4
R188,2,5,7,,3,1,4,,,,3
R189,2,10,12,,2,0,2,,,,10
R190,1,0,1,,2,0,2,,,,-1
R191,5,5,10,,3,2,5,,,,5
R192,3,3,6,,4,0,4,,,,2
R193,3,8,11,,3,0,3,,,,8
R194,3,3,6,,1,1,2,,,,4
R195,3,0,3,,10,0,10,,,,-7
R196,1.5,1,2.5,,1,0,1,,,,1.5
R197,4,4,8,,2,2,4,,,,4
R198,3,3,6,,1,0,1,,,,5
R199,3,5,8,,2,0.5,2.5,,,,5.5
R200,2,3,5,,4,1,5,,,,0
R201,0.5,3,3.5,,1,0,1,,,,2.5
R202,5,10,15,,1,0.5,1.5,,,,13.5
R203,3,4,7,,2,0,2,,,,5
R204,7,7,14,,2,0,2,,,,12
R205,0,0,0,,6,0,6,,,,-6
R206,5,2.5,7.5,,3,0.5,3.5,,,,4
R207,7,4,11,,1,0,1,,,,10
R208,6,1,7,,2,0,2,,,,5
R209,3,6,9,,0.5,1,1.5,,,,7.5
R210,7,4,11,,1,1,2,,,,9
R211,6,5,11,,2,0,2,,,,9
R212,3,4,7,,2,2,4,,,,3
R214,6,1.5,7.5,,2,0.5,2.5,,,,5
R215,6,5,11,,1,1,2,,,,9
R216,3,4,7,,4,0,4,,,,3
R217,6,2,8,,1,1,2,,,,6
R218,4,2,6,,0.5,0.5,1,,,,5
R219,8,7,15,,1,0.5,1.5,,,,13.5
R220,0.5,5,5.5,,1,1,2,,,,3.5
R221,0,2,2,,3,2,5,,,,-3
R222,4,3,7,,3,0,3,,,,4
R223,9,3,12,,0.5,1,1.5,,,,10.5
R224,1,8,9,,2,2,4,,,,5
R225,0,3,3,,8,0,8,,,,-5
R226,1.5,0,1.5,,6,2,8,,,,-6.5
R227,2,2,4,,2,1,3,,,,1
R228,2,5,7,,2,0,2,,,,5
R229,1,1,2,,5,0,5,,,,-3
R230,4,5,9,,3,0,3,,,,6
R231,6,12,18,,2,3,5,,,,13
R232,0,10,10,,0.5,0,0.5,,,,9.5
R233,4,3,7,,2,0.5,2.5,,,,4.5
R234,6,4,10,,0.5,0,0.5,,,,9.5
R235,5,1.5,6.5,,1,3,4,,,,2.5
R236,5,10,15,,1,0,1,,,,14
R237,2,2,4,,4,0,4,,,,0
R238,5,12,17,,1,0,1,,,,16
R239,3,1,4,,1,0.5,1.5,,,,2.5
R240,1,1,2,,1,2,3,,,,-1
R241,3,2,5,,1,1,2,,,,3
R242,0,2,2,,4,0,4,,,,-2
R243,7,3,10,,1.5,1,2.5,,,,7.5
R244,6,2,8,,3,0.5,3.5,,,,4.5
R245,1,2,3,,1,0,1,,,,2
R246,4,2,6,,3,2,5,,,,1
R247,6,2,8,,4,0,4,,,,4
R249,5,4,9,,2,2,4,,,,5
R250,3,2,5,,2,2,4,,,,1
R251,4,0,4,,1,1,2,,,,2
R252,5,2,7,,5,0,5,,,,2
R253,0,8,8,,3,1,4,,,,4
R254,4,5,9,,0.1,0,0.1,,,,8.9
R255,4,4,8,,2,2,4,,,,4
R256,3,2,5,,5,1.5,6.5,,,,-1.5
R257,0,3,3,,4,1,5,,,,-2
R258,5,4,9,,10,0,10,,,,-1
R259,4,8,12,,1,0,1,,,,11
R260,0,4,4,,2,0,2,,,,2
R261,5,1,6,,1,1.5,2.5,,,,3.5
R262,1,0,1,,5,1,6,,,,-5
R263,0,1,1,,4,2,6,,,,-5
R264,3,3,6,,0.5,0.5,1,,,,5
R265,4,2,6,,4,0,4,,,,2
R266,4,5,9,,2,0.5,2.5,,,,6.5
R267,6,3,9,,1,1,2,,,,7
R268,2,2,4,,3,1,4,,,,0
R269,5.5,5,10.5,,1,1,2,,,,8.5
R270,0,12,12,,3,0,3,,,,9
R271,0,0,0,,3.5,2,5.5,,,,-5.5
R272,4,2,6,,3,0,3,,,,3
R273,3,5,8,,1,0,1,,,,7
R274,4,2.5,6.5,,0.5,1,1.5,,,,5
R275,0,8,8,,2,0,2,,,,6
R276,1,3,4,,3,3,6,,,,-2
R278,1,1,2,,2,0,2,,,,0
R279,2,1,3,,1,0,1,,,,2
R280,2,3,5,,3,3,6,,,,-1
R281,7,2,9,,2,2,4,,,,5
R282,0,2,2,,3,5,8,,,,-6
R283,6,4,10,,1,2,3,,,,7
R285,5,6,11,,1,0,1,,,,10
R286,3,6,9,,0.6,1.5,2.1,,,,6.9
R287,5,2,7,,2,0,2,,,,5
R288,7,5,12,,2,2,4,,,,8
R289,1,2,3,,1,0.5,1.5,,,,1.5
R290,5,1,6,,3,0,3,,,,3
R291,3,9,12,,1,0,1,,,,11
R292,1,3,4,,4,0,4,,,,0
R293,3,3,6,,2,1,3,,,,3
R294,7,2,9,,2,0,2,,,,7
R295,2,1,3,,5,1,6,,,,-3
R296,9,5,14,,1,0,1,,,,13
R297,0,1,1,,5,2,7,,,,-6
R298,0,6,6,,4,2,6,,,,0
R299,2,3,5,,1,2,3,,,,2
R301,8,2,10,,0,0,0,,,,10
R302,1,3,4,,3,2,5,,,,-1
R303,3,2,5,,3,0,3,,,,2
R304,0,1,1,,3,2,5,,,,-4
R305,5,5,10,,2,3,5,,,,5
