id,timeSpentOnOnlineClass,timeSpentOnSelfStudy,timeSpentOnOnlineClass&SelfStudy,,timeSpentOnSocialMedia,timeSpentOnTv,timeSpentOnSocialMedia&Tv,,,,The Difference Between The Time Spent On Study And Leisure Activities
R613,1,2,3,,1,0,1,,,,2
R614,2,3,5,,1,1,2,,,,3
R615,2,0,2,,5,0,5,,,,-3
R616,2,2,4,,5,0,5,,,,-1
R617,3,2,5,,1,2,3,,,,2
R618,6,0,6,,3,0,3,,,,3
R619,2,3,5,,1,2,3,,,,2
R620,1,4,5,,2,5,7,,,,-2
R621,1,0,1,,2,2,4,,,,-3
R622,0,3,3,,4,1,5,,,,-2
R623,1,3,4,,3,2,5,,,,-1
R624,2,5,7,,3,0,3,,,,4
R625,3.5,2,5.5,,1,6,7,,,,-1.5
R626,6,2,8,,2,2,4,,,,4
R627,2,2,4,,4,2,6,,,,-2
R628,0,1,1,,5,1.5,6.5,,,,-5.5
R629,4,4,8,,1,1,2,,,,6
R630,1,1,2,,2,1,3,,,,-1
R631,4,5,9,,2,3,5,,,,4
R632,4,3,7,,1,1,2,,,,5
R633,2,1,3,,2,2,4,,,,-1
R634,3,4,7,,2,0,2,,,,5
R635,4,3,7,,2,0,2,,,,5
R636,2,5,7,,1,1,2,,,,5
R637,1,1,2,,2,2,4,,,,-2
R638,3,1,4,,4,1,5,,,,-1
R639,2,2,4,,1,1,2,,,,2
R640,1,2,3,,1,1,2,,,,1
R641,0,1,1,,2,1,3,,,,-2
R642,2,5,7,,1,1,2,,,,5
R643,0.8,1,1.8,,1,1,2,,,,-0.2
R644,2,1,3,,2,1,3,,,,0
R645,2,2,4,,1,1,2,,,,2
R646,0.75,2,2.75,,1,1,2,,,,0.75
R647,0.75,1,1.75,,1,1,2,,,,-0.25
R648,0.75,2,2.75,,1,1,2,,,,0.75
R649,4,4,8,,6,1,7,,,,1
R650,4,4,8,,0,0,0,,,,8
R651,0,2,2,,2,0,2,,,,0
R652,4,6,10,,3,0,3,,,,7
R653,5,1,6,,2,4,6,,,,0
R654,3,2,5,,3,0,3,,,,2
R655,0,0,0,,4,6,10,,,,-10
R656,4,2,6,,1,0,1,,,,5
R657,4,5,9,,2,0,2,,,,7
R658,0,3,3,,4,2,6,,,,-3
R659,2,2,4,,1,0,1,,,,3
R660,6,4,10,,2,0,2,,,,8
R661,4,3,7,,3,0,3,,,,4
R662,4,4,8,,1,2,3,,,,5
R663,5,0.5,5.5,,1,0.5,1.5,,,,4
R664,5,2,7,,1,0,1,,,,6
R665,6,2,8,,6,2,8,,,,0
R666,3,2,5,,4,1,5,,,,0
R667,1,1,2,,2,0.5,2.5,,,,-0.5
R668,2,1,3,,1,0,1,,,,2
R669,2,2,4,,3,0,3,,,,1
R670,3,3,6,,3,0,3,,,,3
R671,4,3,7,,3,3,6,,,,1
R672,5,1,6,,1.5,0,1.5,,,,4.5
R673,5,3,8,,5,1,6,,,,2
R674,1,2,3,,1.5,0.5,2,,,,1
R675,6,2,8,,4,0,4,,,,4
R676,3,6.5,9.5,,0.5,0,0.5,,,,9
R678,3,2,5,,2,1,3,,,,2
R679,0,4,4,,1,0,1,,,,3
R680,5,4,9,,1,0,1,,,,8
R681,0,0.5,0.5,,1,0,1,,,,-0.5
R682,0,0,0,,10,0,10,,,,-10
R683,3,3,6,,2,1,3,,,,3
R684,2,1,3,,4,1,5,,,,-2
R685,0,3,3,,2,0,2,,,,1
R686,3,4,7,,1,2,3,,,,4
R687,4,5,9,,0.5,0,0.5,,,,8.5
R688,3,3,6,,4,0,4,,,,2
R689,7,0,7,,3,0,3,,,,4
R690,0,2,2,,2,0.5,2.5,,,,-0.5
R691,4,2,6,,2,1,3,,,,3
R692,4,2,6,,3,0,3,,,,3
R693,3,6,9,,1.5,0.5,2,,,,7
R694,0,1,1,,2,2,4,,,,-3
R695,4,1,5,,2,2,4,,,,1
R696,6,6,12,,0,1,1,,,,11
R697,3,3,6,,2,0,2,,,,4
R698,1,3,4,,4,0,4,,,,0
R699,0,6,6,,1,2,3,,,,3
R700,3,5,8,,1,0,1,,,,7
R701,1,2,3,,3,0,3,,,,0
R702,2,10,12,,1,0,1,,,,11
R703,2,1,3,,4,1,5,,,,-2
R704,3,1,4,,4,0.5,4.5,,,,-0.5
R705,2,2,4,,1,1,2,,,,2
R706,2,2,4,,2,0,2,,,,2
R707,2,5,7,,1,0,1,,,,6
R708,0,1,1,,4,3,7,,,,-6
R709,0,1,1,,9,2,11,,,,-10
R710,2,3,5,,2,1,3,,,,2
R711,7,3,10,,2,0,2,,,,8
R712,7,2,9,,3,1,4,,,,5
R713,2,1.5,3.5,,1,2,3,,,,0.5
R714,4,4,8,,2,1,3,,,,5
R715,3,2,5,,2,0,2,,,,3
R716,0,0.5,0.5,,2,1,3,,,,-2.5
R717,5,2,7,,3,2,5,,,,2
R718,4,1,5,,2,0,2,,,,3
R719,3,3,6,,3,2,5,,,,1
R720,2,2,4,,5,1,6,,,,-2
R721,1.5,2.5,4,,1,1.5,2.5,,,,1.5
R722,3,3,6,,4,0.75,4.75,,,,1.25
R723,2,4,6,,3,1,4,,,,2
R724,4,5,9,,1,2,3,,,,6
R725,3,7,10,,1,1,2,,,,8
R726,2,0,2,,1.5,2,3.5,,,,-1.5
R727,3,3,6,,2,0,2,,,,4
R728,5,2,7,,1,0.5,1.5,,,,5.5
R729,2,6,8,,4,0.5,4.5,,,,3.5
R730,0,1,1,,3,0,3,,,,-2
R731,2,2,4,,0,0,0,,,,4
R732,0,6,6,,1,1,2,,,,4
R733,1,4,5,,1,0,1,,,,4
R734,2,3,5,,2,3,5,,,,0
R735,4,4,8,,3,2,5,,,,3
R736,4,5,9,,2,1,3,,,,6
R737,2,2,4,,10,1,11,,,,-7
R738,1,4,5,,1,1,2,,,,3
R739,4,3,7,,2,1,3,,,,4
R740,4,1,5,,2,1,3,,,,2
R741,2,1,3,,4,2,6,,,,-3
R742,0,2,2,,4,0,4,,,,-2
R743,3,1,4,,1,0,1,,,,3
R744,6,6,12,,2,0.5,2.5,,,,9.5
R745,2,2,4,,1,0,1,,,,3
R746,0,3,3,,4,1,5,,,,-2
R747,3,2,5,,5,2,7,,,,-2
R748,4,2,6,,2,2,4,,,,2
R749,2,4,6,,2,0,2,,,,4
R750,0,0,0,,4,0,4,,,,-4
R751,5,4,9,,3,1,4,,,,5
R752,3,2,5,,1,0,1,,,,4
R753,2,2,4,,4,1,5,,,,-1
R754,3,2,5,,5,1,6,,,,-1
R755,3,5,8,,1,0,1,,,,7
R756,4,2,6,,2,4,6,,,,0
R757,2,2,4,,2,0,2,,,,2
R758,2,2,4,,3,0,3,,,,1
R759,5,4,9,,1,0,1,,,,8
R760,0,5,5,,1,0,1,,,,4
R761,1,5,6,,2,0,2,,,,4
R762,5,3,8,,2,0,2,,,,6
R763,4,2,6,,2,0,2,,,,4
R764,1,1,2,,2,0,2,,,,0
R765,2,5,7,,1,1,2,,,,5
R766,4,3,7,,3,1,4,,,,3
R767,6,4,10,,2,0,2,,,,8
R768,0.5,2,2.5,,1,0,1,,,,1.5
R769,1,0,1,,3,0,3,,,,-2
R770,4,2,6,,7,3,10,,,,-4
R771,2,2,4,,1,0,1,,,,3
R772,5.5,3,8.5,,1,0,1,,,,7.5
R773,0,0,0,,4,0,4,,,,-4
R774,6,3,9,,2,2,4,,,,5
R775,4,1,5,,2,0,2,,,,3
R776,5,4,9,,1,2,3,,,,6
R777,3,1,4,,2,0,2,,,,2
R778,2,4,6,,1.5,0,1.5,,,,4.5
R779,3,2,5,,3,2,5,,,,0
R780,7,8,15,,1,1,2,,,,13
R781,5,2,7,,0,1,1,,,,6
R782,0.5,1,1.5,,0.5,2.5,3,,,,-1.5
R783,0,2,2,,2,2,4,,,,-2
R784,4,3,7,,4,2,6,,,,1
R785,5,1,6,,2,2,4,,,,2
R786,1,0,1,,4,0,4,,,,-3
R787,3,5,8,,2,0,2,,,,6
R788,1,2,3,,1,1,2,,,,1
R789,5,3,8,,2,2,4,,,,4
R790,4,1,5,,2,0.5,2.5,,,,2.5
R791,1,2,3,,10,0,10,,,,-7
R792,7,2,9,,3,0,3,,,,6
R793,3,3,6,,1,1,2,,,,4
R794,2,3,5,,1,1,2,,,,3
R795,0,2,2,,4,1,5,,,,-3
R796,4,0,4,,1,0,1,,,,3
R797,4,4,8,,2,1,3,,,,5
R798,5,4,9,,0.5,0,0.5,,,,8.5
R799,1,1,2,,1,0,1,,,,1
R800,5,2,7,,1,4,5,,,,2
R801,2,5,7,,2,0.5,2.5,,,,4.5
R802,4,2,6,,2,1,3,,,,3
R803,4,5,9,,4,0,4,,,,5
R804,3,2,5,,1,0,1,,,,4
R805,3,4,7,,2,1,3,,,,4
R806,0,1,1,,1,0,1,,,,0
R807,0,0,0,,2,1,3,,,,-3
R808,2,1,3,,2,5,7,,,,-4
R809,3,4,7,,3,0,3,,,,4
R810,3,2,5,,1,0,1,,,,4
R811,5,3,8,,2,2,4,,,,4
R812,0,4,4,,0,0,0,,,,4
R813,5,4,9,,2,2,4,,,,5
R814,0,1,1,,4,1,5,,,,-4
R815,0,0,0,,5,4,9,,,,-9
R816,5,2,7,,4,6,10,,,,-3
R817,1,2,3,,2,2,4,,,,-1
R818,3,2,5,,3,3,6,,,,-1
R819,5,5,10,,2,1,3,,,,7
R820,2,1,3,,4,2,6,,,,-3
R821,1,1,2,,3,2,5,,,,-3
R822,3,2,5,,2,1,3,,,,2
R823,2,0,2,,4,2,6,,,,-4
R824,2,1,3,,2,3,5,,,,-2
R825,2,7,9,,2,0,2,,,,7
R826,0,2,2,,1,1,2,,,,0
R827,3,5,8,,3,1,4,,,,4
R828,2,2,4,,0.5,0,0.5,,,,3.5
R829,3,12,15,,1,0,1,,,,14
R830,2,3,5,,2,0,2,,,,3
R831,4,4,8,,3,0,3,,,,5
R832,4,3,7,,2,2,4,,,,3
R833,3,5,8,,1,0,1,,,,7
R834,4,5,9,,1,2,3,,,,6
R835,4,4,8,,4,0,4,,,,4
R836,3,8,11,,1,0,1,,,,10
R837,5,6,11,,2,0,2,,,,9
R838,6,2,8,,2,2,4,,,,4
R839,2,3,5,,1,1,2,,,,3
R840,4,2,6,,5,0,5,,,,1
R841,5,6,11,,0,0,0,,,,11
R842,3,3,6,,1,4,5,,,,1
R843,6,4,10,,3,0.5,3.5,,,,6.5
R844,4,2,6,,1,1,2,,,,4
R845,4,2,6,,3,1,4,,,,2
R846,2,3,5,,2,0.5,2.5,,,,2.5
R847,2,3,5,,2,0,2,,,,3
R848,5,4,9,,2,1,3,,,,6
R849,2,3,5,,2,1,3,,,,2
R850,5,1,6,,1,0.5,1.5,,,,4.5
R851,4,2,6,,2,0,2,,,,4
R852,4,3,7,,2,2,4,,,,3
R853,3,2,5,,2,0.5,2.5,,,,2.5
R854,2,2,4,,2,1,3,,,,1
R855,2,12,14,,5,1,6,,,,8
R856,8,2,10,,2,3,5,,,,5
R857,4,1,5,,10,2,12,,,,-7
R858,5,4,9,,2,2,4,,,,5
R859,3,2,5,,0.75,1,1.75,,,,3.25
R860,3,1,4,,1,0,1,,,,3
R861,4,6,10,,2,0,2,,,,8
R862,4,1,5,,2,0,2,,,,3
R863,4,2,6,,2,0,2,,,,4
R864,5,5,10,,2,1,3,,,,7
R865,2,1,3,,1,0,1,,,,2
R866,4,5,9,,3,0,3,,,,6
R867,3,2,5,,1,3,4,,,,1
R868,6,2,8,,3,1,4,,,,4
R869,2,1,3,,0.5,1,1.5,,,,1.5
R870,5,3,8,,3,0,3,,,,5
R871,4,1,5,,1,0,1,,,,4
R872,1,2,3,,2,1,3,,,,0
R873,4,5,9,,0.5,0,0.5,,,,8.5
R874,2,2,4,,2,1,3,,,,1
R875,4,3,7,,1,1,2,,,,5
R876,3,4,7,,2,0,2,,,,5
R877,7,2,9,,3,1,4,,,,5
R878,3,2,5,,3,1,4,,,,1
R879,7,4,11,,2,1,3,,,,8
R880,10,3,13,,1,0.5,1.5,,,,11.5
R881,5,2,7,,1,2,3,,,,4
R882,8,5,13,,3,0.5,3.5,,,,9.5
R883,5,4,9,,1,1,2,,,,7
R884,4,4,8,,1,0,1,,,,7
R885,4,3,7,,2,0,2,,,,5
R886,6,4,10,,2,0.5,2.5,,,,7.5
R887,5,4,9,,2,1,3,,,,6
R888,3,2,5,,4,1,5,,,,0
R889,5,1,6,,3,0,3,,,,3
R890,2,3,5,,7,1.5,8.5,,,,-3.5
R891,2,4,6,,1,2,3,,,,3
R892,4,3,7,,4,0,4,,,,3
R893,6,2,8,,2,1,3,,,,5
R894,2,2,4,,3,1,4,,,,0
R895,1,3,4,,4,0,4,,,,0
R896,3,2,5,,6,5,11,,,,-6
R897,1,3,4,,0,1,1,,,,3
R898,5,2,7,,3,0,3,,,,4
R899,8,2,10,,2,0,2,,,,8
R900,7,7,14,,3,0,3,,,,11
R901,4,1,5,,8,2,10,,,,-5
R902,5,2,7,,3,0,3,,,,4
R903,1,2,3,,3,2,5,,,,-2
R904,3,1,4,,1,4,5,,,,-1
R905,5,3,8,,3,2,5,,,,3
R906,2,3,5,,4,1,5,,,,0
R907,0,1,1,,4,6,10,,,,-9
R908,0,0,0,,3,0,3,,,,-3
R909,5,1,6,,1,1,2,,,,4
R910,10,7,17,,7,2,9,,,,8
R911,4,1,5,,5,0.3,5.3,,,,-0.3
R912,1,5,6,,2,2,4,,,,2
R913,6,2,8,,5,2,7,,,,1
R914,7,1,8,,6,1,7,,,,1
R915,5,6,11,,4,0,4,,,,7
R916,2,1,3,,1,0.5,1.5,,,,1.5
R917,3,2,5,,1,1,2,,,,3
R918,5,2,7,,2,1,3,,,,4
R919,2,6,8,,4,2,6,,,,2
R920,5,2,7,,2,0.5,2.5,,,,4.5
R921,5,2,7,,1.5,1,2.5,,,,4.5
R922,5,1,6,,1,4,5,,,,1
R923,5,2,7,,1,0,1,,,,6
R924,4,3,7,,1,2,3,,,,4
R925,4,2,6,,3,0,3,,,,3
R926,2,2,4,,3,0,3,,,,1
R927,5,1,6,,4,2,6,,,,0
R928,1,3,4,,3,1,4,,,,0
R929,3,6,9,,1,1,2,,,,7
R930,9,2,11,,1,0,1,,,,10
R931,2,2,4,,1,0,1,,,,3
R932,3,2,5,,6,3,9,,,,-4
R933,3,0,3,,4,1,5,,,,-2
R934,5,3,8,,4,0,4,,,,4
R935,1,1,2,,3,0,3,,,,-1
R936,9,2,11,,3,1,4,,,,7
R937,2,2,4,,1,1,2,,,,2
R938,1,6,7,,2,0,2,,,,5
R939,2,3,5,,6,2,8,,,,-3
R940,5,4,9,,6,2,8,,,,1
R941,2,2,4,,5,0,5,,,,-1
R942,3,3,6,,5,3,8,,,,-2
R943,4,3,7,,5,2,7,,,,0
R944,2,1,3,,4,0,4,,,,-1
R945,4,6,10,,5,1,6,,,,4
R946,2,7,9,,4,1,5,,,,4
R947,4,10,14,,3,0,3,,,,11
R948,3,2,5,,5,3.5,8.5,,,,-3.5
R949,0,10,10,,1,0,1,,,,9
R950,1,0,1,,6,2,8,,,,-7
R951,10,1,11,,8,1,9,,,,2
R952,6,2,8,,3,1,4,,,,4
R953,6,2,8,,1,2.5,3.5,,,,4.5
R954,3,1,4,,3,1,4,,,,0
R955,2,6,8,,2,1,3,,,,5
R956,0,1,1,,8,3,11,,,,-10
R957,2,1,3,,1,0.5,1.5,,,,1.5
R958,4,2,6,,1,0,1,,,,5
R959,3,2,5,,2,0,2,,,,3
R960,2,2,4,,1,0,1,,,,3
R961,0,2,2,,0.5,2,2.5,,,,-0.5
R962,0,0,0,,1,0,1,,,,-1
R963,4,8,12,,1,0,1,,,,11
R964,2,4,6,,3,1,4,,,,2
R965,5,5,10,,3,0,3,,,,7
R966,0,6,6,,2,0.5,2.5,,,,3.5
R967,2,1,3,,3,2,5,,,,-2
R968,0,4,4,,3,0,3,,,,1
R969,0,2,2,,6,0,6,,,,-4
R970,8,1,9,,2,0,2,,,,7
R971,0,0,0,,2,2,4,,,,-4
R972,2,1,3,,1,2,3,,,,0
R973,3,5,8,,1,0,1,,,,7
R974,5,3,8,,4,0,4,,,,4
R975,4,3,7,,2,1,3,,,,4
R976,1,2,3,,1,0.3,1.3,,,,1.7
R977,4,2,6,,1,0,1,,,,5
R978,2,3,5,,2,1,3,,,,2
R979,4,2,6,,6,4,10,,,,-4
R980,10,2,12,,5,0,5,,,,7
R981,4,2,6,,2,0.1,2.1,,,,3.9
R982,4,2,6,,8,4,12,,,,-6
R983,7,4,11,,2,0,2,,,,9
R984,8,2,10,,1.5,1,2.5,,,,7.5
R985,6,4,10,,5,2,7,,,,3
R986,5,0,5,,1,0.5,1.5,,,,3.5
R987,4,2,6,,2,0.1,2.1,,,,3.9
R988,6,2,8,,2,0,2,,,,6
R989,6,5,11,,3,0.3,3.3,,,,7.7
R990,8,0,8,,5,0,5,,,,3
R991,4,0,4,,2,0.3,2.3,,,,1.7
R992,8,2,10,,5,1,6,,,,4
R993,1,1,2,,3,0,3,,,,-1
R994,8,3,11,,4,2,6,,,,5
R995,2,2,4,,3,2,5,,,,-1
R996,5,2,7,,1,0,1,,,,6
R997,2,1,3,,3,0,3,,,,0
R998,0,8,8,,10,0,10,,,,-2
R999,2,2,4,,5,2,7,,,,-3
R1000,4,2,6,,3,1,4,,,,2
R1001,8,4,12,,1,2,3,,,,9
R1002,6,2,8,,10,0,10,,,,-2
R1004,6,4,10,,3,0.3,3.3,,,,6.7
R1005,0,3,3,,1,2,3,,,,0
R1006,5,3,8,,3,0,3,,,,5
R1007,4,3,7,,2,0,2,,,,5
R1008,6,2,8,,3,0.3,3.3,,,,4.7
R1009,3,2,5,,3,0,3,,,,2
R1010,4,2,6,,2,0,2,,,,4
R1011,3,2,5,,1,1,2,,,,3
R1012,4,2,6,,3,1,4,,,,2
R1013,4,3,7,,2,1,3,,,,4
R1014,4,2,6,,2,1,3,,,,3
R1015,0,2,2,,2,2,4,,,,-2
R1016,3,4,7,,3,2,5,,,,2
R1017,2,3,5,,2,3,5,,,,0
R1018,5,3,8,,2,2,4,,,,4
R1019,5,4,9,,2,1,3,,,,6
R1020,3,2,5,,2,0.3,2.3,,,,2.7
R1021,0,1,1,,2,0.5,2.5,,,,-1.5
R1022,1,3,4,,2,0,2,,,,2
R1023,0,4,4,,2,0,2,,,,2
R1024,4,4,8,,0.3,0,0.3,,,,7.7
R1025,1,3,4,,2,0,2,,,,2
R1026,0,2,2,,2,2,4,,,,-2
R1027,3,2,5,,2,0,2,,,,3
R1028,5,1,6,,1,0.5,1.5,,,,4.5
R1029,6,4,10,,1,0,1,,,,9
R1030,4,2,6,,2,0,2,,,,4
R1031,2,3,5,,3,0,3,,,,2
R1032,2,0,2,,5,3,8,,,,-6
R1033,0,2,2,,5,0,5,,,,-3
R1034,2,8,10,,1,0,1,,,,9
R1035,2,1,3,,3,2,5,,,,-2
R1036,4,3,7,,2,0,2,,,,5
R1037,2,6,8,,4,0,4,,,,4
R1038,0,0,0,,2,0.5,2.5,,,,-2.5
R1040,5,4,9,,1.5,1,2.5,,,,6.5
R1041,3,3,6,,3,0,3,,,,3
R1042,4,1,5,,3,1,4,,,,1
R1043,5,3,8,,3,2,5,,,,3
R1044,6,4,10,,2,0.5,2.5,,,,7.5
R1045,2,1,3,,1,2,3,,,,0
R1046,2,2,4,,2,3,5,,,,-1
R1047,4,2,6,,0.5,4,4.5,,,,1.5
R1048,2,2,4,,3,0.5,3.5,,,,0.5
R1049,2,3,5,,4,2,6,,,,-1
R1050,0,1,1,,0,0,0,,,,1
R1051,4,3,7,,4,0,4,,,,3
R1052,2,2,4,,1.3,2,3.3,,,,0.7
R1053,3,2,5,,3,0,3,,,,2
R1054,3,3,6,,3,0,3,,,,3
R1055,0,3,3,,2,1,3,,,,0
R1056,8,1,9,,2,1,3,,,,6
R1057,6,2,8,,1,0.5,1.5,,,,6.5
R1058,2,1,3,,2,1,3,,,,0
R1059,3,2,5,,5,0,5,,,,0
R1060,4,2,6,,4,1,5,,,,1
R1061,2,4,6,,3,0,3,,,,3
R1062,5,0.5,5.5,,0.5,0.3,0.8,,,,4.7
R1063,4,3,7,,2,1,3,,,,4
R1064,4,5,9,,0.4,0.5,0.9,,,,8.1
R1065,4,3,7,,5,5,10,,,,-3
R1066,8,4,12,,2,1,3,,,,9
R1067,8,5,13,,1,0,1,,,,12
R1068,5,2,7,,1,2,3,,,,4
R1069,7,3,10,,0,1,1,,,,9
R1070,5,1,6,,1.5,0,1.5,,,,4.5
R1071,4,4,8,,2,0,2,,,,6
R1072,7,3,10,,0.5,0,0.5,,,,9.5
R1073,2,0,2,,1,8,9,,,,-7
R1074,5,2,7,,1,2,3,,,,4
R1075,5,4,9,,2,1,3,,,,6
R1076,4,8,12,,0.5,0.5,1,,,,11
R1077,4,4,8,,4,0,4,,,,4
R1078,4,4,8,,2,1,3,,,,5
R1079,8,2,10,,1,0,1,,,,9
R1080,7,2,9,,0.5,1.5,2,,,,7
R1081,3,4,7,,1,1.5,2.5,,,,4.5
R1082,8,1,9,,0,0,0,,,,9
R1083,7,3,10,,3,2,5,,,,5
R1084,4,4,8,,1,1.5,2.5,,,,5.5
R1085,8,8,16,,2,0,2,,,,14
R1087,5,4,9,,0,1,1,,,,8
R1088,8,4,12,,8,3,11,,,,1
R1089,8,4,12,,2,0,2,,,,10
R1090,4,4,8,,2,1,3,,,,5
R1091,7,3,10,,2,1,3,,,,7
R1092,6,1,7,,1,1,2,,,,5
R1093,6,1,7,,1,0,1,,,,6
R1094,8,5,13,,1,1,2,,,,11
R1095,4,1,5,,2,0.4,2.4,,,,2.6
R1096,9,10,19,,0,2,2,,,,17
R1097,3,6,9,,2,0,2,,,,7
R1098,6,3,9,,1,0.5,1.5,,,,7.5
R1099,8,0,8,,6,0,6,,,,2
R1100,8,1,9,,1,2,3,,,,6
R1101,5,3,8,,3,0,3,,,,5
R1102,4,3,7,,1,1,2,,,,5
R1103,4,0,4,,1,3,4,,,,0
R1104,5,1,6,,5,0,5,,,,1
R1105,0,6,6,,3,0,3,,,,3
R1106,5,2,7,,1,4,5,,,,2
R1107,4,5,9,,1,1,2,,,,7
R1108,5,2,7,,0.5,2,2.5,,,,4.5
R1109,4,2,6,,5,0,5,,,,1
R1110,6,6,12,,2,0,2,,,,10
R1111,5,1,6,,0,2,2,,,,4
R1112,5,4,9,,1,0,1,,,,8
R1113,5,2,7,,1,0.5,1.5,,,,5.5
R1114,6,1,7,,1,2,3,,,,4
R1115,2,8,10,,0,1,1,,,,9
R1116,5,8,13,,2,0,2,,,,11
R1117,5,1,6,,4,0,4,,,,2
R1118,4,2,6,,1,2,3,,,,3
R1119,4,3,7,,1,0.5,1.5,,,,5.5
R1120,5,5,10,,1,2,3,,,,7
R1121,6,11,17,,5,0,5,,,,12
R1122,5,4,9,,0,0.5,0.5,,,,8.5
R1123,4,1,5,,1,3,4,,,,1
R1124,6,2,8,,1,1,2,,,,6
R1125,4,1,5,,1,3,4,,,,1
R1126,4,2,6,,0,2,2,,,,4
R1127,4,3.5,7.5,,2,3,5,,,,2.5
R1128,8,3,11,,1,2,3,,,,8
R1129,6,2,8,,1,0,1,,,,7
R1130,6,8,14,,1,0.1,1.1,,,,12.9
R1131,4,0,4,,3,1,4,,,,0
R1132,6,3,9,,1,1,2,,,,7
R1133,6,2,8,,1,2,3,,,,5
R1134,4,2,6,,1,2,3,,,,3
R1135,5,4,9,,1,0,1,,,,8
R1136,7,4,11,,1,0,1,,,,10
R1137,3,4,7,,1,3,4,,,,3
R1138,6,3,9,,1,2,3,,,,6
R1139,3,1,4,,3,2,5,,,,-1
R1140,4,2,6,,2,5,7,,,,-1
R1141,5.5,2,7.5,,3,1,4,,,,3.5
R1142,4,2,6,,1,2,3,,,,3
R1143,6,2,8,,1,1,2,,,,6
R1144,2,2,4,,1,0,1,,,,3
R1145,6,3,9,,1,1,2,,,,7
R1146,4,2,6,,1,1,2,,,,4
R1147,4,2,6,,0,1,1,,,,5
R1148,5,3,8,,2,1,3,,,,5
R1149,4,1,5,,2,0.5,2.5,,,,2.5
R1150,8,1.5,9.5,,0.5,0.3,0.8,,,,8.7
R1151,5,2,7,,0.5,0.5,1,,,,6
R1152,3,1,4,,1,2,3,,,,1
R1153,4,1,5,,1,1,2,,,,3
R1154,4,2,6,,0.5,2,2.5,,,,3.5
R1155,6,3,9,,1,1,2,,,,7
R1156,5,4,9,,3,0,3,,,,6
R1157,6,2,8,,1,0.5,1.5,,,,6.5
R1158,5,2,7,,1,0.5,1.5,,,,5.5
R1159,4,1,5,,1,2,3,,,,2
R1160,5,2,7,,2,1,3,,,,4
R1161,6,2,8,,7,2,9,,,,-1
R1162,4,4,8,,0,1,1,,,,7
R1164,4,2,6,,0,3,3,,,,3
R1165,5,3,8,,0,2,2,,,,6
R1166,6,7,13,,0,0,0,,,,13
R1167,6,1,7,,1,1,2,,,,5
R1168,6,2,8,,1,1,2,,,,6
R1169,6,5,11,,2,1,3,,,,8
R1171,6,2,8,,1,1,2,,,,6
R1172,3,5,8,,0.25,0,0.25,,,,7.75
R1173,4,3,7,,1,1,2,,,,5
R1174,4,2,6,,1,1,2,,,,4
R1175,6,3,9,,2,2,4,,,,5
R1176,5,2,7,,0,1,1,,,,6
R1177,5,4,9,,1,1.5,2.5,,,,6.5
R1178,4,1.5,5.5,,5,1,6,,,,-0.5
R1179,6,2,8,,1,3,4,,,,4
R1180,6,3,9,,1,1,2,,,,7
R1181,5,2,7,,2,1,3,,,,4
R1182,6,2,8,,1,2,3,,,,5
R1183,7.5,4.5,12,,0.5,2,2.5,,,,9.5
R1184,5,6,11,,0,0,0,,,,11
R1185,4,4,8,,1,2,3,,,,5
R1186,5,2,7,,1,1,2,,,,5
R1187,6,3,9,,4,3,7,,,,2
R1188,8,2,10,,1,1,2,,,,8
R1189,5,4,9,,2,0,2,,,,7
R1190,3,1,4,,3,1,4,,,,0
R1191,3,4,7,,1,2,3,,,,4
R1192,6,4,10,,1,1,2,,,,8
R1193,4,0,4,,3,2,5,,,,-1
R1194,5,3.5,8.5,,0.5,1,1.5,,,,7
R1195,5,2,7,,1,1,2,,,,5
